video_id,video_name,channel_title,channel_id,published_at,thumbnail_url,type
z6tFkq2WtTI,Bathing in 600 lbs of Nutella,Cemre,UCTYPI3osBN9nGTSbYGm0rIQ,2016-09-30T21:08:31.000Z,https://i.ytimg.com/vi/z6tFkq2WtTI/default.jpg,resultado de busca
bwauodQNWtE,Amazing Nutella Chocolate Cake Decorating compilation #95 How to make Nutella Chocolate Cake Videos,Easy Cakes Decorating Ideas,UC7eB_MtuXDVB0PfIGIs_a0Q,2018-08-15T17:15:00.000Z,https://i.ytimg.com/vi/bwauodQNWtE/default.jpg,resultado de busca
MW2vENGMvB0,18 Simple Tricks and Ideas with Nutella,MrGear,UCo6DJdltbIub80bLiyJRv3w,2018-10-13T04:00:01.000Z,https://i.ytimg.com/vi/MW2vENGMvB0/default.jpg,resultado de busca
OiZP8RNS2ek,Crazy food processing machine 2018 | NUTELLA,TeCho,UCqOu70migtMqMQf-5GwYuiA,2017-10-31T12:58:53.000Z,https://i.ytimg.com/vi/OiZP8RNS2ek/default.jpg,resultado de busca
O_0Xqwfb9As,OS CONCORRENTES DA NUTELLA - Qual é o Melhor?,Bom de Garfo,UC0l_MDSrdWMJDX7jZtC07jw,2018-09-05T15:00:03.000Z,https://i.ytimg.com/vi/O_0Xqwfb9As/default.jpg,resultado de busca
bNH2rzGO8PU,"Nutella - Legarda, Ryan Roy, Dejota 2021 (Official Music Video)",Legarda,UCr6YzHFLuUMb45TX3KS6YVA,2019-02-08T00:58:43.000Z,https://i.ytimg.com/vi/bNH2rzGO8PU/default.jpg,resultado de busca
na2XWHa_g6k,Nutella Challenge,Matt Stonie,UCd1fLoVFooPeWqCEYVUJZqg,2017-02-14T21:17:21.000Z,https://i.ytimg.com/vi/na2XWHa_g6k/default.jpg,resultado de busca
Fj2gi821o_w,Nutella &amp; Oreo Ice Cream Rolls - how to make delicious Nutella and Oreo Cookies ice cream | ASMR,Ice Cream Rolls,UCAon55hNT6ESbdQ5y1hRWTA,2017-11-16T14:00:01.000Z,https://i.ytimg.com/vi/Fj2gi821o_w/default.jpg,resultado de busca
AqR1KBhVvL8,Banheira De Nutella (ULTIMATE),Luccas Neto Antigo,UClZ6fWQ87gImd-hCE0kKTog,2019-03-05T17:16:08.000Z,https://i.ytimg.com/vi/AqR1KBhVvL8/default.jpg,resultado de busca
hajGpxApRLM,Nutella Heart Weighs 2 Pounds,Food Insider,UCwiTOchWeKjrJZw7S1H__1g,2018-02-06T14:00:04.000Z,https://i.ytimg.com/vi/hajGpxApRLM/default.jpg,resultado de busca
z6tFkq2WtTI,Bathing in 600 lbs of Nutella,Cemre,UCTYPI3osBN9nGTSbYGm0rIQ,2016-09-30T19:18:23.000Z,https://i.ytimg.com/vi/z6tFkq2WtTI/default.jpg,video relacionado
0me2NyqR7A4,PADARIA FERRAGENS,Parafernalha,UCddYq41_tZ1FnLlguLT6-Ow,2013-06-08T11:43:57.000Z,https://i.ytimg.com/vi/0me2NyqR7A4/default.jpg,video relacionado
sytdZq2xmdg,10 TOBOÁGUAS MAIS RADICAIS DO MUNDO!,Felipe Neto,UCV306eHqgo0LvBf3Mh36AHg,2018-07-04T20:47:21.000Z,https://i.ytimg.com/vi/sytdZq2xmdg/default.jpg,video relacionado
ZryoRM4Zcpc,MEU FIDGET SPINNER MÁGICO (Parte 1),Maria Clara & JP,UCKe6w0exI94U-RzqAyoY1VA,2017-12-28T01:38:28.000Z,https://i.ytimg.com/vi/ZryoRM4Zcpc/default.jpg,video relacionado
jH402JKroV8,12 QUASE MORTES FILMADAS POR GOPRO E CÂMERAS,Você Sabia?,UCj0O6W8yDuLg3iraAXKgCrQ,2018-04-22T17:39:09.000Z,https://i.ytimg.com/vi/jH402JKroV8/default.jpg,video relacionado
heYc6xK247U,A VIDA DE MARIVALDA - Marivalda faz seu irmão de escravo ( EPISÓDIO 7 ),Henrique Nemes,UC-4TwmWQShd0R6YZ_HJ0NfA,2018-04-24T04:46:25.000Z,https://i.ytimg.com/vi/heYc6xK247U/default.jpg,video relacionado
-uf-xobjTBU,OS 5 LUGARES MAIS DOLOROSOS DO CORPO PARA TATUAGEM,Felipe Neto,UCV306eHqgo0LvBf3Mh36AHg,2018-09-24T12:43:25.000Z,https://i.ytimg.com/vi/-uf-xobjTBU/default.jpg,video relacionado
ZA5CuAavcq4,DESAFIO DA BANHEIRA DE LISTERINE !! ( 100 LITROS ) [ REZENDE EVIL ],rezendeevil,UCbTVTephX30ZhQF5zwFppBg,2017-11-15T18:19:43.000Z,https://i.ytimg.com/vi/ZA5CuAavcq4/default.jpg,video relacionado
JApXgvWde1Y,PEGADINHAS MAIS INCRÍVEIS DO MUNDO,Felipe Neto,UCV306eHqgo0LvBf3Mh36AHg,2018-07-22T11:56:17.000Z,https://i.ytimg.com/vi/JApXgvWde1Y/default.jpg,video relacionado
uSxarJIX0LY,FIZ UMA PONTE DE PISCINA COM TATAME E CORRI EM CIMA DELA,LUCCAS NETO - LUCCAS TOON,UC_gV70G_Y51LTa3qhu8KiEA,2018-05-16T11:41:45.000Z,https://i.ytimg.com/vi/uSxarJIX0LY/default.jpg,video relacionado
Hlvs1Usk1mk,MAIORES FAILS DA INTERNET,Felipe Neto,UCV306eHqgo0LvBf3Mh36AHg,2017-09-15T11:50:34.000Z,https://i.ytimg.com/vi/Hlvs1Usk1mk/default.jpg,video relacionado
FCzTsjfEkMg,A AGUA É LAVA! (NA CORDA BAMBA - SLACKLINE),Canal IN,UCIR9VKPE70KJ4DX2zCjHObw,2017-09-15T04:13:33.000Z,https://i.ytimg.com/vi/FCzTsjfEkMg/default.jpg,video relacionado
lcnge6W4JdY,TUTORIAIS QUE DERAM ERRADO,Felipe Neto,UCV306eHqgo0LvBf3Mh36AHg,2018-06-29T20:17:59.000Z,https://i.ytimg.com/vi/lcnge6W4JdY/default.jpg,video relacionado
